"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"AAG45720.1"	"AF205943"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ77817.2"	"AM231720"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAL85435.1"	"AM412777"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENV88740.1"	"APQF01000011.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABQ52429.1"	"EF581285"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31686.1"	"EF650032"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31687.1"	"EF650033"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31688.1"	"EF650034"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31689.1"	"EF650035"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAA80304.1"	"Z22590"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31690.1"	"EF650036"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31691.1"	"EF650037"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABV31692.1"	"EF650038"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABW70410.1"	"EF653400"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX38721.1"	"EU188842"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABS71123.1"	"EU029998"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABW95047.1"	"EU220744"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACV49885.1"	"GQ423625.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAK55330.1"	"AF371964"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAN41427.1"	"AY139598"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAA83417.1"	"U10251"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCJ32595.1"	"HE963768"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGU69248.1"	"KF057027"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX45061.1"	"EU255291.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX45062.1"	"EU255292.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX45063.1"	"EU255293.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX45064.1"	"EU255294.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX45065.1"	"EU255295.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABX45066.1"	"EU255296.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABY77907.1"	"EU375515"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAP69660.1"	"AM932669"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAC46344.1"	"U59183"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACD84988.1"	"EU547445"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACD84989.1"	"EU547446"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACD84990.1"	"EU547447"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACE63186.1"	"EU571228"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADM47435.1"	"HQ122933"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABW76134.1"	"EU086830"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABW76138.1"	"EU086834"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACD45467.1"	"EU670845"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAQ51348.1"	"AM991978"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHX74209.1"	"KJ420612.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ALL27283.1"	"KR780479.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABQ15112.1"	"EF552405"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABY79006.1"	"EU358785"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACX70402.1"	"GQ861437"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACY56711.1"	"FJ872530"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACN85419.1"	"FJ790516"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACI28281.1"	"FJ194494"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACO72579.1"	"FJ848783"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACX31140.1"	"GQ853679"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACX31141.1"	"GQ853680"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAB05874.1"	"U63835"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACX31142.1"	"GQ853681"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"SUA76968.1"	"UGSG01000001.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ALA99186.1"	"KP771980.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CFB60580.1"	"CEWL01000009.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"SNU87672.1"	"LT906435.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ALA99189.1"	"KP771983.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"SUA92210.1"	"UGSJ01000001.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ALA99191.1"	"KP771985.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ALA99192.1"	"KP771986.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAB97924.1"	"AF043100"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADB28891.1"	"GU199038"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACT09125.1"	"GQ202693"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADG27454.1"	"HM015773"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADY06444.1"	"HQ700343"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK34116.1"	"GU831575"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35869.1"	"HM488986"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35870.1"	"HM488987"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35871.1"	"HM488988"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35872.1"	"HM488989"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35873.1"	"HM488990"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABI63579.1"	"DQ902344.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35874.1"	"HM488991"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK35875.1"	"HM488992"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58616.1"	"HM113558"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58617.1"	"HM113559"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58618.1"	"HM113560"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58619.1"	"HM113561"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58620.1"	"HM113562"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58621.1"	"HM113563"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADI58622.1"	"HM113564"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADM26744.1"	"HM570035"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAB58555.1"	"U85514"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADM26745.1"	"HM570036"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEP16366.1"	"JN205800"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADK92148.1"	"HM640278"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADV41666.1"	"HQ111474"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFO09968.1"	"JQ396378"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFO09969.1"	"JQ396379.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAD02245.1"	"AF043381"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADZ54048.1"	"JF273470"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEB98920.1"	"HQ425492"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEB98921.1"	"HQ425493"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEB98922.1"	"HQ425494"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEB98923.1"	"HQ425495"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADT70779.1"	"HQ634775"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFC95894.1"	"JN704570"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAB59082.1"	"M95287.4"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACC55538.1"	"CP000863.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADX07745.1"	"HQ734811"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADX07746.1"	"HQ734812"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADX07747.1"	"HQ734813"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADX07748.1"	"HQ998857"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFU91598.1"	"JQ809466"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEO92079.1"	"JF800667"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAL15076.1"	"AB634250"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFK28473.1"	"JQ838185"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCA94644.1"	"FR853176"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEM66528.1"	"JF268688.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAA71699.2"	"Y10693"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEE61368.1"	"JF795487"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEV91550.1"	"JN861779"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEV91551.1"	"JN861780"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEV91552.1"	"JN861781"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEV91553.1"	"JN861782"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEV91554.1"	"JN861783"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCA94649.1"	"FR865168"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEO44980.1"	"JN603240"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEL17179.1"	"JN215211"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAD12233.1"	"AF064820"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEL88491.1"	"JN248564"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEQ73521.1"	"JN596991"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEP43731.1"	"JN638887"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACM67635.1"	"FJ617207"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFM55001.1"	"JQ422053"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFM55000.1"	"JQ422052"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAV65289.1"	"AY795964"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFM55002.1"	"JQ422054"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFG29918.1"	"JQ326200"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGD91915.1"	"JX423831"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AID67109.1"	"KJ657570"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"WP_038350216.1"	"NG_050607.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFH36330.1"	"JQ820240"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFH36332.1"	"JQ820242"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFH36331.1"	"JQ820241"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFN65709.1"	"JQ837239"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAM34291.1"	"AF509241"	"OXA beta-lactamase"	"carbapenem;cephalosporin;monobactam;penam"	"antibiotic inactivation"
"AFN20670.1"	"JX089628"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFO55201.1"	"JX025021"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFO55202.1"	"JX025022"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ90085.1"	"JX206446"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGC60012.1"	"JX438000"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGC60013.1"	"JX438001"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHC31001.1"	"KF711993"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGC70814.1"	"JX893517"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCJ32596.1"	"HE963769"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCJ32597.1"	"HE963770"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAG35607.1"	"AF201826"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCJ32598.1"	"HE963771"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AER57903.1"	"JN118546"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ASF15667.1"	"CP022089.2"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGK07368.1"	"KC479324"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAN10684.1"	"AB781687"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGK07369.1"	"KC479325"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCE94500.1"	"HE616889"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGK07370.1"	"KC567681"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCE73593.2"	"HE614014"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGV04655.1"	"KF305666.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAG35608.1"	"AF201827"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENU54757.1"	"APOR01000009.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENW35072.1"	"APQV01000009.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENW50687.1"	"APRA01000005.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENW43915.1"	"APQY01000006.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENW20318.1"	"APQQ01000012.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"RFX69805.1"	"PXZD01000001.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENV38192.1"	"APPO01000008.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENV93423.1"	"APQH01000006.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENU09033.1"	"APOE01000008.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"EOQ63861.1"	"APQJ01000007.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAG35609.2"	"AF201828.2"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"EOQ69512.1"	"APQM01000006.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"EOQ72432.1"	"APQO01000006.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENW16915.1"	"APQP01000003.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENW12288.1"	"APQN01000012.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"EPH38243.1"	"ASQG01000007.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENV18923.1"	"APPJ01000001.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENV13583.1"	"APPI01000013.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENV45890.1"	"APPQ01000011.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGI65307.1"	"KC771279"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ENU35234.1"	"APOM01000058.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
